txn_id,account_id,timestamp,amount,merchant_id
txn_3ec6705b9ccf,acct_5bddbfb4cc,2026-09-11T21:27:29,4849.39,merchant_demo_001
txn_89c6c48d3617,acct_5bddbfb4cc,2026-11-14T21:27:29,4662.02,merchant_demo_001
txn_a04e9b6304cb,acct_5bddbfb4cc,2026-10-10T21:27:29,1766.17,merchant_demo_001
txn_909e0f309fdd,acct_c24cc6f461,2026-07-31T04:27:43,3241.19,merchant_demo_001
txn_1052e3dfcb00,acct_c24cc6f461,2025-12-15T04:27:43,985.85,merchant_demo_001
txn_71773f560f83,acct_c24cc6f461,2025-07-30T04:27:43,4365.38,merchant_demo_001
txn_bfa53d0e03e2,acct_c24cc6f461,2025-11-14T04:27:43,4182.99,merchant_demo_001
txn_c053ecb6aec6,acct_5786b5ad34,2026-07-22T04:42:01,1712.59,merchant_demo_001
txn_90b30983aa92,acct_5786b5ad34,2026-06-18T04:42:01,1746.82,merchant_demo_001
txn_aa7006d17b4e,acct_5786b5ad34,2026-07-22T04:42:01,3944.78,merchant_demo_001
txn_4e7566190345,acct_5786b5ad34,2026-05-01T04:42:01,2987.12,merchant_demo_001
txn_531e2363a9ce,acct_5786b5ad34,2026-08-17T04:42:01,2674.32,merchant_demo_001
txn_5891b772cf77,acct_7be2602a2b,2026-08-16T16:52:17,2317.14,merchant_demo_001
txn_3e7fa20498f2,acct_7be2602a2b,2026-10-18T16:52:17,703.17,merchant_demo_001
txn_fb917b384ed8,acct_7be2602a2b,2026-06-06T16:52:17,900.1,merchant_demo_001
txn_c656efd61014,acct_7be2602a2b,2026-05-14T16:52:17,1172.57,merchant_demo_001
txn_e74dbbce2391,acct_7be2602a2b,2026-07-10T16:52:17,4855.08,merchant_demo_001
txn_953580a71092,acct_bbab1471b1,2026-04-13T16:09:18,1797.95,merchant_demo_001
txn_35b252a450f0,acct_01f28f58a1,2025-11-03T16:31:39,3112.22,merchant_demo_001
txn_6f17b98eb167,acct_01f28f58a1,2025-10-31T16:31:39,3573.47,merchant_demo_001
txn_58ef7f9a9b22,acct_01f28f58a1,2026-01-03T16:31:39,952.29,merchant_demo_001
txn_de9e70453305,acct_01f28f58a1,2025-11-07T16:31:39,4204.69,merchant_demo_001
txn_bbb467633f42,acct_22e7a3ecb5,2025-08-29T11:15:52,1227.63,merchant_demo_001
txn_fc839d5741c3,acct_22e7a3ecb5,2025-06-29T11:15:52,4969.18,merchant_demo_001
txn_30140b59e7ff,acct_0291586fbf,2026-01-21T13:52:35,2232.4,merchant_demo_001
txn_2b3325fa1734,acct_0291586fbf,2026-05-26T13:52:35,963.26,merchant_demo_001
txn_3d2bdb66fe7d,acct_0291586fbf,2026-09-01T13:52:35,3550.32,merchant_demo_001
txn_2a797c0a2515,acct_0291586fbf,2026-10-24T13:52:35,1618.87,merchant_demo_001
